title,score,episode,aired,user
Gintama°: Aizome Kaori-hen,8.39,OVA (2 eps),Aug 2016 - Nov 2016,"82,331 members"
Houseki no Kuni,8.39,TV (12 eps),Oct 2017 - Dec 2017,"439,181 members"
Kamisama Hajimemashita: Kako-hen,8.39,OVA (4 eps),Aug 2015 - Aug 2016,"160,805 members"
Suzume no Tojimari,8.39,Movie (1 eps),Nov 2022 - Nov 2022,"251,898 members"
Tensei shitara Slime Datta Ken 2nd Season,8.39,TV (12 eps),Jan 2021 - Mar 2021,"887,585 members"
Mo Dao Zu Shi: Xian Yun Pian,8.38,ONA (8 eps),Aug 2019 - Sep 2019,"99,748 members"
Mushoku Tensei: Isekai Ittara Honki Dasu,8.38,TV (11 eps),Jan 2021 - Mar 2021,"1,189,886 members"
Non Non Biyori Nonstop,8.38,TV (12 eps),Jan 2021 - Mar 2021,"117,570 members"
3-gatsu no Lion,8.38,TV (22 eps),Oct 2016 - Mar 2017,"657,341 members"
Barakamon,8.38,TV (12 eps),Jul 2014 - Sep 2014,"642,852 members"
Chihayafuru 2,8.38,TV (25 eps),Jan 2013 - Jun 2013,"228,732 members"
Cowboy Bebop: Tengoku no Tobira,8.38,Movie (1 eps),Sep 2001 - Sep 2001,"363,708 members"
Cross Game,8.38,TV (50 eps),Apr 2009 - Mar 2010,"121,695 members"
Baccano!,8.37,TV (13 eps),Jul 2007 - Nov 2007,"883,225 members"
Kizumonogatari I: Tekketsu-hen,8.37,Movie (1 eps),Jan 2016 - Jan 2016,"511,075 members"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.37,Movie (1 eps),Jan 2019 - Jan 2019,"126,468 members"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie (1 eps),Oct 2012 - Oct 2012,"196,545 members"
Kaze no Tani no Nausicaä,8.36,Movie (1 eps),Mar 1984 - Mar 1984,"360,264 members"
Mahou Shoujo Madoka★Magica,8.36,TV (12 eps),Jan 2011 - Apr 2011,"1,242,490 members"
Usagi Drop,8.36,TV (11 eps),Jul 2011 - Sep 2011,"482,788 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36,TV (12 eps),Jul 2020 - Sep 2020,"692,725 members"
Fumetsu no Anata e,8.36,TV (20 eps),Apr 2021 - Aug 2021,"822,401 members"
Haikyuu!! To the Top,8.36,TV (13 eps),Jan 2020 - Apr 2020,"887,438 members"
Bakuman. 2nd Season,8.35,TV (25 eps),Oct 2011 - Mar 2012,"345,591 members"
Boku no Hero Academia 6th Season,8.35,TV (25 eps),Oct 2022 - Mar 2023,"561,394 members"
Gintama: Shiroyasha Koutan,8.35,Special (1 eps),Sep 2008 - Sep 2008,"67,970 members"
Hellsing Ultimate,8.35,OVA (10 eps),Feb 2006 - Dec 2012,"895,398 members"
K-On! Movie,8.35,Movie (1 eps),Dec 2011 - Dec 2011,"319,158 members"
Neon Genesis Evangelion,8.35,TV (26 eps),Oct 1995 - Mar 1996,"1,735,296 members"
Tian Guan Ci Fu,8.35,ONA (11 eps),Oct 2020 - Jan 2021,"122,541 members"
Tian Guan Ci Fu Special,8.35,ONA (1 eps),Feb 2021 - Feb 2021,"40,543 members"
Watashi no Shiawase na Kekkon,8.34,TV (12 eps),Jul 2023 -,"129,403 members"
Kimetsu no Yaiba: Katanakaji no Sato-hen,8.34,TV (11 eps),Apr 2023 - Jun 2023,"643,265 members"
Kiseijuu: Sei no Kakuritsu,8.34,TV (24 eps),Oct 2014 - Mar 2015,"1,795,997 members"
Psycho-Pass,8.34,TV (22 eps),Oct 2012 - Mar 2013,"1,579,462 members"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.34,TV (13 eps),Jul 2020 - Sep 2020,"1,053,793 members"
Kidou Senshi Gundam: The Origin,8.33,OVA (6 eps),Feb 2015 - May 2018,"70,307 members"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA (1 eps),Feb 2014 - Feb 2014,"77,831 members"
One Outs,8.33,TV (25 eps),Oct 2008 - Apr 2009,"230,533 members"
Ramayana: The Legend of Prince Rama,8.33,Movie (1 eps),Jan 1993 - Jan 1993,"9,635 members"
Romeo no Aoi Sora,8.33,TV (33 eps),Jan 1995 - Dec 1995,"48,275 members"
Bakemonogatari,8.33,TV (15 eps),Jul 2009 - Jun 2010,"1,363,002 members"
Blue Lock,8.33,TV (24 eps),Oct 2022 - Mar 2023,"576,461 members"
Given,8.33,TV (11 eps),Jul 2019 - Sep 2019,"541,833 members"
IDOLiSH7 Third Beat! Part 2,8.33,TV (17 eps),Oct 2022 - Feb 2023,"12,069 members"
Initial D First Stage,8.33,TV (26 eps),Apr 1998 - Dec 1998,"358,344 members"
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33,TV (12 eps),Jul 2021 - Sep 2021,"694,488 members"
Uchuu Senkan Yamato 2199,8.33,OVA (26 eps),May 2012 - Oct 2013,"112,046 members"
Versailles no Bara,8.33,TV (40 eps),Oct 1979 - Sep 1980,"93,373 members"
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.33,Special (1 eps),Jul 2018 - Jul 2018,"313,862 members"
Wu Liuqi: Xuanwu Guo Pian,8.33,ONA (10 eps),Jan 2021 - May 2021,"55,196 members"
Kingdom 2nd Season,8.32,TV (39 eps),Jun 2013 - Mar 2014,"118,876 members"
Major S6,8.32,TV (25 eps),Apr 2010 - Sep 2010,"61,278 members"
Natsume Yuujinchou Go Specials,8.32,Special (2 eps),Mar 2017 - Apr 2017,"43,984 members"
Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV (13 eps),Apr 2015 - Jun 2015,"826,390 members"
Kage no Jitsuryokusha ni Naritakute!,8.32,TV (20 eps),Oct 2022 - Feb 2023,"501,111 members"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,TV (11 eps),Apr 2011 - Jun 2011,"1,563,100 members"
Boku dake ga Inai Machi,8.31,TV (12 eps),Jan 2016 - Mar 2016,"2,011,517 members"
Hunter x Hunter: Original Video Animation,8.31,OVA (8 eps),Jan 2002 - Apr 2002,"123,321 members"
Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,8.31,TV (12 eps),Jul 2023 -,"272,679 members"
Katanagatari,8.31,TV (12 eps),Jan 2010 - Dec 2010,"548,015 members"
Kemono no Souja Erin,8.31,TV (50 eps),Jan 2009 - Dec 2009,"83,979 members"
Natsume Yuujinchou,8.31,TV (13 eps),Jul 2008 - Sep 2008,"523,294 members"
NHK ni Youkoso!,8.31,TV (24 eps),Jul 2006 - Dec 2006,"715,482 members"
Ookami to Koushinryou II,8.31,TV (12 eps),Jul 2009 - Sep 2009,"478,331 members"
Sakamichi no Apollon,8.31,TV (12 eps),Apr 2012 - Jun 2012,"373,873 members"
Kuroko no Basket 3rd Season,8.30,TV (25 eps),Jan 2015 - Jun 2015,"734,915 members"
Spy x Family Part 2,8.30,TV (13 eps),Oct 2022 - Dec 2022,"792,877 members"
Detective Conan Movie 06: The Phantom of Baker Street,8.30,Movie (1 eps),Apr 2002 - Apr 2002,"75,306 members"
Diamond no Ace: Second Season,8.30,TV (51 eps),Apr 2015 - Mar 2016,"133,171 members"
Evangelion: 2.0 You Can (Not) Advance,8.30,Movie (1 eps),Jul 2009 - Jul 2009,"521,924 members"
Hibike! Euphonium 2,8.30,TV (13 eps),Oct 2016 - Dec 2016,"218,687 members"
Ashita no Joe,8.29,TV (79 eps),Apr 1970 - Sep 1971,"86,623 members"
Beck,8.29,TV (26 eps),Oct 2004 - Mar 2005,"329,477 members"
Doukyuusei (Movie),8.29,Movie (1 eps),Feb 2016 - Feb 2016,"258,528 members"
Dr. Stone,8.29,TV (24 eps),Jul 2019 - Dec 2019,"1,650,202 members"
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.29,Movie (12 eps),Mar 2022 - May 2022,"19,155 members"
